里 仁 篇 第 四	VERB NOUN NOUN NOUN NUM
子 曰 里 仁 為 美 擇 不 處 仁 焉 得 知	NOUN VERB VERB NOUN AUX NOUN VERB ADV VERB NOUN ADV AUX VERB
子 曰 不 仁 者 不 可 以 久 處 約 不 可 以 長 處 樂 仁 者 安 仁 知 者 利 仁	NOUN VERB ADV VERB PART ADV AUX VERB VERB VERB NOUN ADV AUX VERB VERB VERB NOUN VERB PART VERB VERB VERB PART VERB VERB
子 曰 唯 仁 者 能 好 人 能 惡 人	NOUN VERB ADV VERB PART AUX VERB NOUN AUX VERB NOUN
子 曰 苟 志 於 仁 矣 無 惡 也	NOUN VERB ADV VERB ADP NOUN PART ADV VERB PART
子 曰 富 與 貴 是 人 之 所 欲 也 不 以 其 道 得 之 不 處 也 貧 與 賤 是 人 之 所 惡 也 不 以 其 道 得 之 不 去 也 君子 去 仁 惡 乎 成 名 君子 無 終 食 之 間 違 仁 造 次 必 於 是 顛 沛 必 於 是	NOUN VERB VERB ADP VERB PRON NOUN SCONJ PART VERB PART ADV VERB PRON NOUN VERB PRON ADV VERB PART VERB ADP VERB PRON NOUN SCONJ PART VERB PART ADV VERB PRON NOUN VERB PRON ADV VERB PART NOUN VERB VERB ADV PART VERB NOUN NOUN VERB VERB NOUN SCONJ NOUN VERB VERB VERB NOUN ADV VERB PRON ADV VERB ADV VERB PRON
子 曰 我 未 見 好 仁 者 惡 不 仁 者 好 仁 者 無 以 尚 之 惡 不 仁 者 其 為 仁 矣 不 使 不 仁 者 加 乎 其 身 有 能 一 日 用 其 力 於 仁 矣 乎 我 未 見 力 不 足 者 蓋 有 之 矣 我 未 之 見 也	NOUN VERB PRON ADV VERB VERB VERB PART VERB ADV VERB PART VERB VERB PART ADV ADV VERB PRON VERB ADV VERB PART PRON VERB NOUN PART ADV VERB ADV VERB PART VERB ADP PRON NOUN VERB AUX NUM NOUN VERB PRON NOUN ADP NOUN PART PART PRON ADV VERB NOUN ADV VERB PART PART VERB PRON PART PRON ADV PRON VERB PART
子 曰 人 之 過 也 各 於 其 黨 觀 過 斯 知 人 矣	NOUN VERB NOUN SCONJ VERB PART ADV VERB PRON NOUN VERB NOUN ADV VERB NOUN PART
子 曰 朝 聞 道 夕 死 可 矣	NOUN VERB NOUN VERB NOUN NOUN VERB VERB PART
子 曰 士 志 於 道 而 恥 惡 衣 惡 食 者 未 足 與 議 也	NOUN VERB NOUN VERB ADP NOUN CCONJ VERB NOUN NOUN NOUN NOUN PART ADV AUX ADV VERB PART
子 曰 君子 之 於 天 下 也 無 適 也 無 莫 也 義 之 與 比	NOUN VERB NOUN SCONJ VERB NOUN NOUN PART VERB VERB PART VERB ADV PART NOUN PRON ADP VERB
